code,name,pop
63000010002,莊敬里,3727
63000010003,東榮里,4086
63000010004,三民里,9323
63000010005,新益里,6150
63000010006,富錦里,3449
63000010007,新東里,4519
63000010008,富泰里,9648
63000010009,介壽里,834
63000010010,精忠里,9516
63000010011,東光里,9201
63000010012,龍田里,9897
63000010013,東昌里,8080
63000010014,東勢里,2250
63000010015,中華里,4347
63000010016,民有里,6800
63000010017,民福里,2703
63000010018,慈祐里,6148
63000010019,安平里,3990
63000010020,鵬程里,9384
63000010021,自強里,9205
63000010022,吉祥里,1694
63000010024,新聚里,6204
63000010025,復盛里,2628
63000010026,中正里,462
63000010027,中崙里,2622
63000010028,美仁里,6584
63000010029,吉仁里,1755
63000010030,敦化里,9215
63000010031,復源里,4140
63000010032,復建里,6879
63000010033,復勢里,963
63000010034,福成里,890
63000010035,松基里,3703
63000020001,西村里,3158
63000020002,正和里,3182
63000020003,興隆里,6876
63000020004,中興里,8573
63000020005,新仁里,7526
63000020006,興雅里,4925
63000020007,敦厚里,2041
63000020008,廣居里,4557
63000020009,安康里,8331
63000020010,六藝里,4028
63000020011,雅祥里,293
63000020012,五常里,5609
63000020013,五全里,6476
63000020014,永吉里,8807
63000020015,長春里,4975
63000020016,四育里,7602
63000020017,四維里,5795
63000020018,永春里,6171
63000020019,富臺里,8222
63000020020,國業里,4055
63000020021,松隆里,9225
63000020022,松友里,4666
63000020023,松光里,9751
63000020024,中坡里,9557
63000020025,中行里,680
63000020026,大道里,6599
63000020027,大仁里,9804
63000020028,景新里,8034
63000020029,惠安里,1307
63000020030,三張里,1501
63000020031,三犁里,9243
63000020032,六合里,7372
63000020033,泰和里,4532
63000020034,景聯里,4263
63000020035,景勤里,9572
63000020036,雙和里,4328
63000020037,嘉興里,7988
63000020038,黎順里,3426
63000020039,黎平里,4602
63000020040,黎忠里,6119
63000020041,黎安里,4672
63000030001,德安里,1920
63000030002,仁慈里,4049
63000030003,和安里,9435
63000030004,民炤里,107
63000030005,仁愛里,7126
63000030006,義村里,9646
63000030007,民輝里,1584
63000030008,昌隆里,4865
63000030009,誠安里,1469
63000030010,光武里,900
63000030011,龍坡里,3420
63000030012,龍泉里,7839
63000030013,古風里,5023
63000030014,古莊里,2909
63000030015,龍安里,9597
63000030016,錦安里,9016
63000030017,福住里,6026
63000030018,永康里,9792
63000030019,光明里,2568
63000030020,錦泰里,1835
63000030021,錦華里,3981
63000030022,龍圖里,4014
63000030023,新龍里,8068
63000030026,龍陣里,7545
63000030027,龍雲里,7297
63000030028,龍生里,7563
63000030029,住安里,2002
63000030030,義安里,1160
63000030031,通化里,2236
63000030032,通安里,4409
63000030033,臨江里,2704
63000030034,法治里,5347
63000030035,全安里,1103
63000030036,群賢里,670
63000030037,群英里,7312
63000030038,虎嘯里,7344
63000030039,臥龍里,4413
63000030040,龍淵里,5323
63000030041,龍門里,8768
63000030043,大學里,5960
63000030044,芳和里,7121
63000030046,黎元里,3116
63000030047,黎孝里,8370
63000030048,黎和里,7039
63000030049,建安里,5344
63000030050,建倫里,6022
63000030051,敦安里,6779
63000030052,正聲里,9554
63000030053,敦煌里,6821
63000030054,華聲里,1819
63000030055,車層里,3398
63000030056,光信里,2458
63000030057,學府里,384
63000040001,正守里,7650
63000040002,正義里,5335
63000040003,正得里,709
63000040004,民安里,9888
63000040005,康樂里,3199
63000040006,中山里,5187
63000040007,聚盛里,923
63000040008,集英里,3513
63000040009,聚葉里,3314
63000040010,恆安里,78
63000040011,晴光里,4395
63000040012,圓山里,986
63000040013,劍潭里,7750
63000040014,大直里,2842
63000040015,成功里,9036
63000040016,永安里,3395
63000040017,大佳里,6766
63000040018,新喜里,1868
63000040019,新庄里,2796
63000040020,新福里,7500
63000040021,松江里,4788
63000040022,新生里,4370
63000040023,中庄里,1027
63000040024,行政里,6097
63000040025,行仁里,9169
63000040026,行孝里,9119
63000040027,下埤里,6711
63000040028,江寧里,4365
63000040029,江山里,5078
63000040030,中吉里,7518
63000040031,中原里,5779
63000040032,興亞里,7882
63000040033,中央里,4086
63000040034,朱馥里,9926
63000040035,龍洲里,4141
63000040036,朱園里,5566
63000040037,埤頭里,5848
63000040038,朱崙里,6921
63000040039,力行里,7257
63000040040,復華里,285
63000040041,金泰里,9422
63000040042,北安里,487
63000050001,水源里,289
63000050002,富水里,3949
63000050003,文盛里,8584
63000050004,林興里,8887
63000050005,河堤里,5394
63000050006,頂東里,7838
63000050007,網溪里,6062
63000050008,板溪里,9278
63000050009,螢圃里,3778
63000050010,螢雪里,431
63000050011,永功里,1252
63000050012,永昌里,4063
63000050013,龍興里,8300
63000050014,忠勤里,4205
63000050015,廈安里,7940
63000050016,愛國里,3217
63000050017,南門里,9797
63000050018,龍光里,7073
63000050019,南福里,2534
63000050020,龍福里,5072
63000050021,新營里,3897
63000050022,建國里,9489
63000050023,光復里,7360
63000050024,黎明里,9377
63000050025,梅花里,2779
63000050026,幸福里,7295
63000050027,幸市里,8418
63000050028,東門里,4730
63000050029,文北里,2571
63000050030,文祥里,2313
63000050031,三愛里,576
63000060001,玉泉里,365
63000060002,建明里,4358
63000060003,建功里,3395
63000060004,建泰里,1192
63000060005,永樂里,1473
63000060006,朝陽里,8695
63000060007,星明里,8251
63000060008,光能里,4695
63000060009,大有里,9128
63000060010,延平里,8268
63000060011,雙連里,7382
63000060012,南芳里,8287
63000060013,民權里,307
63000060014,景星里,3218
63000060015,隆和里,8666
63000060016,蓬萊里,2906
63000060017,國順里,5327
63000060018,國慶里,9045
63000060019,揚雅里,6208
63000060020,斯文里,6588
63000060021,鄰江里,95
63000060022,至聖里,9611
63000060024,老師里,1773
63000060025,重慶里,670
63000060026,保安里,5350
63000070001,福星里,4670
63000070002,萬壽里,57
63000070003,西門里,8711
63000070004,新起里,8202
63000070005,菜園里,5747
63000070006,青山里,700
63000070007,富民里,5283
63000070008,福音里,1025
63000070009,仁德里,9957
63000070010,富福里,4783
63000070011,頂碩里,2687
63000070012,雙園里,2853
63000070013,新忠里,7285
63000070014,新和里,2502
63000070015,糖?里,3965
63000070016,和平里,2942
63000070017,綠堤里,9855
63000070018,華江里,836
63000070019,柳鄉里,7156
63000070020,日善里,8281
63000070021,新安里,6654
63000070022,忠德里,2423
63000070023,孝德里,8043
63000070024,和德里,6767
63000070025,錦德里,546
63000070026,全德里,4866
63000070027,保德里,2945
63000070028,銘德里,7891
63000070029,榮德里,8518
63000070030,壽德里,3058
63000070031,興德里,4983
63000070032,華中里,1947
63000070033,日祥里,2017
63000070034,忠貞里,1643
63000070035,凌霄里,7002
63000070036,騰雲里,1416
63000080001,景行里,9537
63000080002,景東里,4301
63000080003,景美里,2136
63000080004,景慶里,212
63000080005,景仁里,7668
63000080006,景華里,2886
63000080007,萬有里,2131
63000080008,萬祥里,4652
63000080009,萬隆里,5399
63000080010,萬年里,8939
63000080011,萬和里,2914
63000080012,萬盛里,7619
63000080013,興豐里,2138
63000080014,興光里,9803
63000080015,興家里,1817
63000080016,興得里,9710
63000080017,興業里,9664
63000080018,興安里,281
63000080019,興福里,9542
63000080020,興旺里,1829
63000080021,興泰里,6818
63000080022,興昌里,8711
63000080023,試院里,3496
63000080024,華興里,1876
63000080025,明義里,9549
63000080026,明興里,7303
63000080027,木柵里,3450
63000080028,木新里,3061
63000080029,順興里,6697
63000080030,樟林里,7747
63000080031,樟新里,724
63000080032,樟腳里,2931
63000080033,萬芳里,7686
63000080034,博嘉里,5378
63000080035,萬興里,6459
63000080036,指南里,6785
63000080037,老泉里,2342
63000080038,忠順里,8807
63000080039,萬美里,3927
63000080040,政大里,3108
63000080041,樟文里,117
63000080042,興邦里,2033
63000080043,樟樹里,3134
63000090001,南港里,633
63000090002,中南里,114
63000090003,新富里,2876
63000090004,三重里,1897
63000090005,東新里,2313
63000090006,新光里,3193
63000090007,東明里,2106
63000090008,西新里,2619
63000090009,玉成里,9955
63000090010,合成里,8115
63000090011,成福里,6854
63000090012,萬福里,5630
63000090013,鴻福里,5828
63000090014,百福里,1318
63000090015,聯成里,946
63000090016,舊莊里,9826
63000090017,中研里,1345
63000090018,九如里,3612
63000090019,仁福里,5275
63000090020,重陽里,1999
63000100001,西湖里,201
63000100002,西康里,89
63000100003,西安里,1945
63000100005,港墘里,6885
63000100006,港都里,6247
63000100007,港富里,3857
63000100008,港華里,959
63000100009,內湖里,8052
63000100010,湖濱里,7120
63000100011,紫星里,6789
63000100012,大湖里,7015
63000100013,金龍里,7965
63000100014,金瑞里,3473
63000100015,碧山里,4048
63000100016,紫雲里,3146
63000100017,清白里,3970
63000100018,葫洲里,8203
63000100019,紫陽里,1680
63000100020,瑞陽里,5237
63000100021,瑞光里,5379
63000100022,五分里,8751
63000100023,東湖里,7892
63000100024,樂康里,2519
63000100025,內溝里,4270
63000100026,週美里,5368
63000100027,行善里,5537
63000100028,石潭里,3791
63000100029,湖興里,1110
63000100030,湖元里,6091
63000100031,安湖里,3666
63000100032,秀湖里,6595
63000100033,安泰里,5882
63000100034,金湖里,4724
63000100035,康寧里,6725
63000100036,明湖里,6577
63000100037,蘆洲里,9302
63000100038,麗山里,1376
63000100039,寶湖里,4172
63000100040,南湖里,4668
63000110001,仁勇里,5516
63000110002,義信里,1250
63000110003,福林里,8151
63000110004,福德里,5859
63000110005,福志里,2860
63000110006,舊佳里,5683
63000110007,福佳里,2388
63000110008,後港里,953
63000110009,福中里,3471
63000110010,前港里,4911
63000110011,百齡里,5982
63000110012,承德里,9773
63000110013,福華里,6372
63000110014,明勝里,1326
63000110015,福順里,5536
63000110016,富光里,8570
63000110017,葫蘆里,8021
63000110018,葫東里,3114
63000110019,社子里,1704
63000110020,社新里,8487
63000110021,社園里,1943
63000110022,永倫里,2606
63000110023,福安里,7899
63000110024,富洲里,7692
63000110025,岩山里,532
63000110026,名山里,5573
63000110027,德行里,8481
63000110028,德華里,3673
63000110029,聖山里,6998
63000110030,忠誠里,1203
63000110031,芝山里,3498
63000110032,東山里,1955
63000110033,三玉里,2013
63000110034,蘭雅里,1033
63000110035,蘭興里,9252
63000110036,天福里,129
63000110037,天祿里,7787
63000110038,天壽里,1892
63000110039,天和里,6937
63000110040,天山里,3134
63000110041,天玉里,9034
63000110042,天母里,6151
63000110043,永福里,2117
63000110044,公館里,6945
63000110045,新安里,4252
63000110046,陽明里,3009
63000110047,菁山里,3819
63000110048,平等里,1635
63000110049,溪山里,8405
63000110050,翠山里,2189
63000110051,臨溪里,8200
63000120001,建民里,8442
63000120002,文林里,6525
63000120003,石牌里,4491
63000120004,福興里,5589
63000120005,榮光里,3377
63000120006,榮華里,6584
63000120007,裕民里,3940
63000120008,振華里,4356
63000120009,永和里,4584
63000120010,永欣里,926
63000120011,永明里,4328
63000120012,東華里,1066
63000120013,吉利里,5961
63000120014,吉慶里,2037
63000120015,尊賢里,8434
63000120016,立賢里,4737
63000120017,立農里,9118
63000120018,八仙里,1568
63000120019,洲美里,783
63000120020,奇岩里,4752
63000120021,清江里,5469
63000120022,中央里,3823
63000120023,長安里,4438
63000120024,大同里,2393
63000120025,溫泉里,5030
63000120026,林泉里,5204
63000120027,中心里,4686
63000120028,中庸里,5986
63000120029,開明里,3253
63000120030,中和里,5897
63000120031,智仁里,9854
63000120032,秀山里,4
63000120033,文化里,3143
63000120034,豐年里,4779
63000120035,稻香里,7977
63000120036,桃源里,496
63000120037,一德里,4425
63000120038,關渡里,538
63000120039,泉源里,8138
63000120040,湖山里,4193
63000120041,大屯里,4347
63000120042,湖田里,1860
64000010001,藍橋里,4661
64000010002,慈愛里,88
64000010003,博愛里,1929
64000010004,壽星里,9397
64000010005,中山里,105
64000010006,教仁里,8008
64000010007,新樂里,3947
64000010008,中原里,6951
64000010009,光明里,668
64000010010,育仁里,5916
64000010011,河濱里,968
64000010012,沙地里,2762
64000010013,南端里,2215
64000010014,港都里,3972
64000010015,江西里,1272
64000010016,新豐里,2235
64000010017,府北里,2365
64000010018,陸橋里,4722
64000010019,瀨南里,4479
64000010020,新化里,5357
64000010021,江南里,3065
64000020001,鼓峰里,7589
64000020002,雄峰里,2785
64000020003,前峰里,3569
64000020004,光榮里,6234
64000020005,民族里,3679
64000020006,內惟里,3831
64000020007,建國里,1999
64000020008,忠正里,3040
64000020009,自強里,8953
64000020010,龍井里,7773
64000020011,正德里,1858
64000020012,平和里,7687
64000020013,民強里,7601
64000020014,厚生里,6150
64000020015,龍子里,4177
64000020016,龍水里,4287
64000020017,明誠里,7949
64000020018,華豐里,4986
64000020019,裕興里,1103
64000020020,裕豐里,9825
64000020021,鼓岩里,2929
64000020022,樹德里,5548
64000020023,寶樹里,7559
64000020024,興宗里,2150
64000020025,光化里,1514
64000020026,山下里,3889
64000020027,河邊里,1052
64000020028,綠川里,9065
64000020029,登山里,9493
64000020030,峰南里,6114
64000020031,麗興里,4211
64000020032,新民里,4102
64000020033,延平里,6316
64000020034,維生里,1336
64000020035,惠安里,8827
64000020036,壽山里,9591
64000020037,哨船頭里,5035
64000020038,桃源里,8706
64000030001,進學里,1834
64000030002,尾西里,7387
64000030003,頂北里,6295
64000030004,中北里,8478
64000030005,中南里,917
64000030006,廟東里,3400
64000030007,廟北里,4789
64000030008,尾南里,7943
64000030009,尾北里,1193
64000030011,屏山里,4147
64000030012,祥和里,5068
64000030013,永清里,6674
64000030015,莒光里,2216
64000030016,光輝里,6622
64000030017,合群里,160
64000030019,明建里,1678
64000030021,頂西里,3468
64000030022,聖后里,5041
64000030023,聖西里,1177
64000030024,聖南里,7011
64000030025,城南里,1467
64000030026,路東里,8282
64000030027,?北里,6276
64000030028,?南里,4991
64000030029,埤西里,738
64000030030,埤北里,5339
64000030031,埤東里,7298
64000030032,海勝里,1549
64000030034,崇實里,9441
64000030035,自助里,2347
64000030036,果貿里,748
64000030037,果惠里,3234
64000030038,果峰里,8922
64000030039,新下里,7549
64000030040,新上里,3475
